Language information,,,,Stress system information,,Stress correlate information,,,,,Phonological uses of suprasegmentals,,References
,,,,,,Reported correlate,,,,,,,
Language name,Language family,Secondary family,ISO 639-3 code,Stress system type,Primary stress edge,Duration,Pitch,Intensity,Primary correlate,Vowel reduction,Duration = contrastive,Pitch = contrastive,Sources
Jarawara,Arauan,,jaa,1,1,0,0,1,3,0,1,0,Dixon (2004)
Jingulu,Australian,West Barkly,jig,2,1,1,0,1,,0,1,0,"Pensalfini (1997, 2003)"
Kabardian,Northwest Caucasian,Circassian,kbd,0,1,1,1,1,2,0,3,0,Gordon & Applebaum (2010)
Kadiweu (Non-Noble),Guaicuruan,,kbc,3,1,0,0,1,3,0,1,0,Sandalo (1997)
Kamass,Uralic,Samoyed,xas,0,0,0,0,1,3,1,3,0,"Simoncsics (1998), Künnap (1999b)"
Kaqchikel,Mayan,Quichean–Mamean,cak,0,1,1,0,1,,0,0,0,"Berinstein (1979), Bennett (2016)"
Karitiana,Tupian,Arikem,ktn,1,1,1,1,1,3,0,1,0,Everett (2006)
Kashibo-Kakataibo,Panoan,Mainline Panoan,cbr,1,0,1,0,0,1,1,3,1,Zariquiey Biondi (2011)
Konkow,Maiduan,Konkow,mjd,0,0,0,1,1,,0,1,0,Ultan (1967)
Koromfe,Niger–Congo,Atlantic–Congo,kfz,0,0,0,0,1,3,0,1,0,Rennison (1997)
Kuku Yalanji,Australian,Pama-Nyungan,gvn,0,0,0,1,1,,0,0,0,Patz (2002)
Kurtöp,Sino-Tibetan,Tibeto-Kanauri,xkz,0,0,1,1,0,,0,1,1,Hyslop (2011)
Lenakel,Austronesian,Malayo-Polynesian,tnl,1,1,0,1,1,,0,2,0,"Lynch (1974), Hayes (1995)"
Leti,Austronesian,Malayo-Polynesian,lti,1,1,1,1,0,1,0,2,0,"Hume (1997), Hume et al. (1997)"
Limilngan,Australian,Limilngan-Wulna,lmc,1,1,1,0,1,3,1,0,0,Harvey (2001)
Macedonian (Literary),Indo-European,Slavic,mkd,0,1,1,0,0,1,0,0,0,Friedman (1993)
Maidu (Mountain),Penutian,Maiduan ,nmu,1,0,1,1,1,,0,0,0,"Shipley (1964), Rice (2010)"
Maithili,Indo-European,Indo-Iranian,mai,0,1,1,0,0,1,0,0,0,"Yadav (1980), Mishra (2006)"
Maltese,Semitic,Central Semitic,mlt,0,1,0,1,1,,1,1,0,Borg & Azzopardi-Alexander (1997)
Manambu,Sepik-Ramu,Sepik,mle,0,1,0,0,1,3,0,2,0,Aikhenvald (2008)
Mangghuer,Mongolic,Shirongolic,mjg,0,1,0,1,1,,1,0,0,Slater (2003)
